mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-56,04/08/1993,04/17/1993,NASA Ames Research Center (ARC),Principal Investigator,Emily,Morey- Holton
STS-56,04/08/1993,04/17/1993,Indiana University,Principal Investigator,W.,Roberts
STS-56,04/08/1993,04/17/1993,American Lake Veteran's Administration Medical Center,Co-Investigator,Russell,Turner
STS-56,04/08/1993,04/17/1993,NASA Ames Research Center (ARC),ARC Payload Engineer,Rudolph,Aquilina
STS-56,04/08/1993,04/17/1993,NASA Ames Research Center (ARC),ARC Payload Manager,Randall,Berthold
STS-56,04/08/1993,04/17/1993,NASA Ames Research Center (ARC),ARC Deputy Payload Manager,Robert,Lavond
STS-56,04/08/1993,04/17/1993,NASA Ames Research Center (ARC),ARC Payload Scientist,Dana,Leonard
STS-56,04/08/1993,04/17/1993,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Dana,Leonard
STS-56,04/08/1993,04/17/1993,Indiana University,Co-Investigator,Lawrence,Garetto
STS-56,04/08/1993,04/17/1993,Texas A&M University,Co-Investigator,David,Zawieja
STS-56,04/08/1993,04/17/1993,Texas A&M University,Principal Investigator,Walter,Cromer
STS-56,04/08/1993,04/17/1993,,Principal Investigator,William,Rhoten
