mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),Principal Investigator,Patricia,Cowings
STS-47,09/12/1992,09/20/1992,"University of California, Los Angeles",Co-Investigator,Joe,Kamiya
STS-47,09/12/1992,09/20/1992,Yale University,Co-Investigator,Neal,Miller
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Susan,Zapalac
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),ARC Payload Manager,Gregory,Schmidt
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),ARC Payload Scientist,Sally,Schofield- Ball
STS-47,09/12/1992,09/20/1992,Reed College,Co-Investigator,Steven,Black
STS-47,09/12/1992,09/20/1992,Dalhousie University,Co-Investigator,Richard,Wassersug
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),Co-Investigator,Muriel,Ross
STS-47,09/12/1992,09/20/1992,"University of California, San Francisco",Co-Investigator,William (Bill),Toscano
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),ARC Payload Engineer,Thomas,Stolarik
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),ARC Deputy Payload Manager,David,Pletcher
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),Principal Investigator,Kenneth,Souza
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),ARC Deputy Payload Scientist,Paul,Callahan
STS-47,09/12/1992,09/20/1992,NASA Ames Research Center (ARC),Hardware Engineer,John,Connolly
