mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 936,08/03/1977,08/22/1977,American Lake Veteran's Administration Medical Center,Co-Investigator,David,Baylink
Cosmos 936,08/03/1977,08/22/1977,American Lake Veteran's Administration Medical Center,Principal Investigator,David,Baylink
Cosmos 936,08/03/1977,08/22/1977,"University of California, San Francisco",Principal Investigator,Eugene,Benton
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,Samuel,Black
Cosmos 936,08/03/1977,08/22/1977,University of San Francisco,Co-Investigator,R.,Cassou
Cosmos 936,08/03/1977,08/22/1977,NASA Jet Propulsion Laboratory,Principal Investigator,Kenneth,Castleman
Cosmos 936,08/03/1977,08/22/1977,,Program Manager,R.,Farrell
Cosmos 936,08/03/1977,08/22/1977,University of Southern California,Co-Investigator,Louis,Chui
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,Robert,Corbett
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,D.,Dayhoff
Cosmos 936,08/03/1977,08/22/1977,"University of California, San Francisco",Co-Investigator,A.,Frank
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,Gladys,Harrison
Cosmos 936,08/03/1977,08/22/1977,University of San Francisco,Co-Investigator,R.,Henke
Cosmos 936,08/03/1977,08/22/1977,Veteran's Administration Hospital,Co-Investigator,Stephen,Landaw
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,R.,Lee
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Principal Investigator,Henry,Leon
Cosmos 936,08/03/1977,08/22/1977,Bruce Lyon Memorial Research Laboratory,Co-Investigator,Chen,Lin
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,J.,McGourty
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Principal Investigator,Emily,Morey- Holton
Cosmos 936,08/03/1977,08/22/1977,University of San Francisco,Co-Investigator,D.,Peterson
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Principal Investigator,Delbert,Philpott
Cosmos 936,08/03/1977,08/22/1977,Institute of Biomedical Problems (IBMP),Co-Investigator,Luba,Serova
Cosmos 936,08/03/1977,08/22/1977,Institute of Biomedical Problems (IBMP),Co-Investigator,V.,Shvets
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),ARC Project Manager,Kenneth,Souza
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,Charles,Turnbill
Cosmos 936,08/03/1977,08/22/1977,American Lake Veteran's Administration Medical Center,Co-Investigator,Russell,Turner
Cosmos 936,08/03/1977,08/22/1977,University of Southern California,Co-Investigator,Joseph,Van Der Meulen
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,C.,Volkmann
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),ARC Deputy Project Manager,Robert,Mah
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,Emily,Morey- Holton
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),Co-Investigator,Delbert,Philpott
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),ARC Project Scientist,Kenneth,Souza
Cosmos 936,08/03/1977,08/22/1977,NASA Ames Research Center (ARC),ARC Project Engineer,Robert,Mah
Cosmos 936,08/03/1977,08/22/1977,Bruce Lyon Memorial Research Laboratory,Principal Investigator,S.,Abraham
Cosmos 936,08/03/1977,08/22/1977,Linus Pauling Institute of Science and Medicine,Principal Investigator,Jamie,Miquel
