mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 1887,09/29/1987,10/11/1987,"Washington University, St. Louis",Co-Investigator,Beverly,Norris
Cosmos 1887,09/29/1987,10/11/1987,Institute of Biomedical Problems (IBMP),Co-Investigator,Victor,Oganov
Cosmos 1887,09/29/1987,10/11/1987,"University of California, San Francisco",Co-Investigator,Patricia,Patterson- Allen
Cosmos 1887,09/29/1987,10/11/1987,Colorado State University,Principal Investigator,Robert,Phillips
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Principal Investigator,Delbert,Philpott
Cosmos 1887,09/29/1987,10/11/1987,Institute of Biomedical Problems (IBMP),Co-Investigator,Irena,Popova
Cosmos 1887,09/29/1987,10/11/1987,"Washington University, St. Louis",Co-Investigator,M.,Pusateri
Cosmos 1887,09/29/1987,10/11/1987,Institute of Biomedical Problems (IBMP),Co-Investigator,A.,Rakhmanov
Cosmos 1887,09/29/1987,10/11/1987,Indiana University,Co-Investigator,W.,Roberts
Cosmos 1887,09/29/1987,10/11/1987,Indiana/Purdue University,Co-Investigator,Gary,Rosenberg
Cosmos 1887,09/29/1987,10/11/1987,"University of California, Los Angeles",Co-Investigator,Roland,Roy
Cosmos 1887,09/29/1987,10/11/1987,"University of Goteborg, Sweden",Co-Investigator,B.,Rydevik
Cosmos 1887,09/29/1987,10/11/1987,Tuskegee University,Co-Investigator,Walter,Sapp
Cosmos 1887,09/29/1987,10/11/1987,Salk Institute,Co-Investigator,Paul,Sawchenko
Cosmos 1887,09/29/1987,10/11/1987,Colorado State University,Co-Investigator,H.,Sawyer
Cosmos 1887,09/29/1987,10/11/1987,Institute of Biomedical Problems (IBMP),Co-Investigator,Luba,Serova
Cosmos 1887,09/29/1987,10/11/1987,University of Texas Medical Branch (UTMB),Principal Investigator,David,Simmons
Cosmos 1887,09/29/1987,10/11/1987,Institute of Biomedical Problems (IBMP),Co-Investigator,T.,Smirnova
Cosmos 1887,09/29/1987,10/11/1987,Florida A & M University,Co-Investigator,M.,Soliman
Cosmos 1887,09/29/1987,10/11/1987,University of Louisville,Co-Investigator,Joseph,Steffen
Cosmos 1887,09/29/1987,10/11/1987,NASA Headquarters (HQ),Program Scientist,Frank,Sulzman
Cosmos 1887,09/29/1987,10/11/1987,NASA Johnson Space Center (JSC),Co-Investigator,Gerald,Taylor
Cosmos 1887,09/29/1987,10/11/1987,"University of Texas, Houston",Co-Investigator,D.,Thomason
Cosmos 1887,09/29/1987,10/11/1987,"University of Wisconsin, Madison",Principal Investigator,Arthur,Vailas
Cosmos 1887,09/29/1987,10/11/1987,Salk Institute,Principal Investigator,Wylie,Vale
Cosmos 1887,09/29/1987,10/11/1987,Brain Research Institute,Co-Investigator,I.,Victorov
