mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-48,09/12/1991,09/18/1991,NASA Ames Research Center (ARC),ARC Payload Manager,Randall,Berthold
STS-48,09/12/1991,09/18/1991,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Philip,Lane
STS-48,09/12/1991,09/18/1991,NASA Ames Research Center (ARC),ARC Deputy Payload Manager,Robert,Lavond
STS-48,09/12/1991,09/18/1991,NASA Ames Research Center (ARC),ARC Deputy Payload Scientist,Dana,Leonard
STS-48,09/12/1991,09/18/1991,NASA Ames Research Center (ARC),ARC Payload Scientist,Debra,Reiss- Bubenheim
STS-48,09/12/1991,09/18/1991,NASA Ames Research Center (ARC),ARC Project Engineer,Todd,Sweetland
