mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-65,07/08/1994,07/23/1994,Eastern Virginia Medical School,Principal Investigator,Dorothy,Spangenberg
STS-65,07/08/1994,07/23/1994,NASA Ames Research Center (ARC),ARC Payload Manager,A.,Maese
STS-65,07/08/1994,07/23/1994,NASA Ames Research Center (ARC),ARC Payload Scientist,Ronald,Schaefer
STS-65,07/08/1994,07/23/1994,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Oliver,Chee
STS-65,07/08/1994,07/23/1994,University of Texas Health Science Center,Principal Investigator,Michael,Wiederhold
