mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Co-Investigator,E.,Alekseyev
STS-40,06/05/1991,06/14/1991,Baylor College of Medicine,Principal Investigator,Clarence,Alfrey
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Principal Investigator,Alexey,Bakulin
STS-40,06/05/1991,06/14/1991,"University of California, Irvine",Principal Investigator,Kenneth,Baldwin
STS-40,06/05/1991,06/14/1991,Institute for Brain Research,Co-Investigator,P.,Belichenko
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Co-Investigator,Tamila,Burkovskaya
STS-40,06/05/1991,06/14/1991,"University of California, San Francisco",Co-Investigator,Christopher,Cann
STS-40,06/05/1991,06/14/1991,NASA Ames Research Center (ARC),Co-Investigator,Fernando,D'Amelio
STS-40,06/05/1991,06/14/1991,NASA Ames Research Center (ARC),Co-Investigator,Nancy,Daunton
STS-40,06/05/1991,06/14/1991,Baylor College of Medicine,Co-Investigator,Theda,Driscoll
STS-40,06/05/1991,06/14/1991,Institute for Brain Research,Co-Investigator,V.,Drobyshev
STS-40,06/05/1991,06/14/1991,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Paula,Dumars
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Co-Investigator,G.,Durnova
STS-40,06/05/1991,06/14/1991,Severtsev Institute of Evolutionary Morphology and Ecology of Animals,Principal Investigator,Ludmilla,Dyachkova
STS-40,06/05/1991,06/14/1991,"University of California, Los Angeles",Co-Investigator,V.,Edgerton
STS-40,06/05/1991,06/14/1991,"University of California, San Diego",Co-Investigator,Ann,Elliott
STS-40,06/05/1991,06/14/1991,San Jose State University,Co-Investigator,Stanley,Ellis
STS-40,06/05/1991,06/14/1991,Institute for Brain Research,Co-Investigator,A.,Fedorov
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Co-Investigator,N.,Fedotova
STS-40,06/05/1991,06/14/1991,Joint Institute for Nuclear Research,Co-Investigator,M.,Frontasyeva
STS-40,06/05/1991,06/14/1991,Universite de Montpellier II,Co-Investigator,Jacqueline,Gabrion
STS-40,06/05/1991,06/14/1991,Institute for Brain Research,Principal Investigator,L.,Gershtein
STS-40,06/05/1991,06/14/1991,Deutsche Forschungsanstalt für Luft und Raumfahrt,Principal Investigator,Rupert,Gerzer
STS-40,06/05/1991,06/14/1991,Laboratoire de Physiologie de l'Environnement,Principal Investigator,Claude,Gharib
STS-40,06/05/1991,06/14/1991,NASA Ames Research Center (ARC),Principal Investigator,Richard,Grindeland
STS-40,06/05/1991,06/14/1991,Joint Institute for Nuclear Research,Co-Investigator,S.,Gundorina
STS-40,06/05/1991,06/14/1991,Medical College of Wisconsin,Co-Investigator,A.,Haas
STS-40,06/05/1991,06/14/1991,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Nichola,Hawes
STS-40,06/05/1991,06/14/1991,University of Sydney,Principal Investigator,Joseph,Hoh
STS-40,06/05/1991,06/14/1991,University of Tennessee Medical Center,Co-Investigator,Albert,Ichiki
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Co-Investigator,E.,Ilyina- Kakueva
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Co-Investigator,S.,Ivanova
STS-40,06/05/1991,06/14/1991,NASA Ames Research Center (ARC),ARC Payload Scientist,Gary,Jahns
STS-40,06/05/1991,06/14/1991,University of Georgia,Co-Investigator,J.,Jones
STS-40,06/05/1991,06/14/1991,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Sheli,Jones
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Co-Investigator,Olga,Kabitskaya
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Principal Investigator,Alexander,Kaplansky
STS-40,06/05/1991,06/14/1991,NASA Ames Research Center (ARC),Co-Investigator,Lanny,Keil
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Principal Investigator,Irina,Konstantinova
STS-40,06/05/1991,06/14/1991,Institute of Biomedical Problems (IBMP),Principal Investigator,Igor,Krasnov
STS-40,06/05/1991,06/14/1991,Washington University- Medical College,Co-Investigator,Paul,Lacy
STS-40,06/05/1991,06/14/1991,University of Tennessee Medical Center,Principal Investigator,Robert,Lange
STS-40,06/05/1991,06/14/1991,Sechenov Institute of Evolutionary Physiology and Biochemistry,Co-Investigator,E.,Lavrova
