mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-52,10/22/1992,11/01/1992,Pennsylvania  State University,Co-Investigator,Wesley,Hymer
STS-52,10/22/1992,11/01/1992,NASA Ames Research Center (ARC),ARC Payload Manager,Joellen,Jarvi
STS-52,10/22/1992,11/01/1992,NASA Ames Research Center (ARC),ARC Deputy Payload Manager,Robert,Lavond
STS-52,10/22/1992,11/01/1992,NASA Ames Research Center (ARC),ARC Deputy Payload Scientist,Dana,Leonard
STS-52,10/22/1992,11/01/1992,NASA Ames Research Center (ARC),ARC Payload Scientist,Nichola,Hawes
STS-52,10/22/1992,11/01/1992,NASA Ames Research Center (ARC),ARC Payload Engineer,Kim,Hines
STS-52,10/22/1992,11/01/1992,"Merck & Company, Inc.",Co-Investigator,Gideon,Rodan
STS-52,10/22/1992,11/01/1992,Pennsylvania State University,Principal Investigator,William,Wilfinger
