mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-46,07/31/1992,08/08/1992,Pennsylvania  State University,Principal Investigator,Wesley,Hymer
STS-46,07/31/1992,08/08/1992,NASA Ames Research Center (ARC),ARC Payload Manager,Randall,Berthold
STS-46,07/31/1992,08/08/1992,NASA Ames Research Center (ARC),ARC Payload Scientist,Philip,Lane
STS-46,07/31/1992,08/08/1992,NASA Johnson Space Center (JSC),Co-Investigator,Dennis,Morrison
STS-46,07/31/1992,08/08/1992,NASA Ames Research Center (ARC),Co-Investigator,Richard,Grindeland
