mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),Co-Investigator,Richard,Adachi
Cosmos 1514,12/14/1983,12/19/1983,Indiana University,Principal Investigator,Jeffrey,Alberts
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Alexei,Alpatov
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Z.,Apanasenko
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),Co-Investigator,B.,Benjamin
Cosmos 1514,12/14/1983,12/19/1983,"University of California, San Francisco",Principal Investigator,Christopher,Cann
Cosmos 1514,12/14/1983,12/19/1983,NASA Headquarters (HQ),Program Manager,Larry,Chambers
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),ARC Deputy Project Manager,Edward,Gomersall
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),Co-Investigator,Bruce,Halpryn
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),Co-Investigator,John,Hines
Cosmos 1514,12/14/1983,12/19/1983,University of Louisville,Principal Investigator,J.,Keefe
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Vladimir,Klimovitsky
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Yuri,Kondratyev
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Igor,Krasnov
Cosmos 1514,12/14/1983,12/19/1983,Institute of Surgery,Co-Investigator,V.,Krilov
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Vladimir,Krotov
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,B.,Kulaev
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,V.,Magedov
Cosmos 1514,12/14/1983,12/19/1983,Harvard Medical School,Co-Investigator,Martin,Moore- Ede
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,A.,Nazin
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Victor,Oganov
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),Co-Investigator,Robert,Osaki
Cosmos 1514,12/14/1983,12/19/1983,"University of California, San Francisco",Co-Investigator,Patricia,Patterson- Allen
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,A.,Rakhmanov
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),ARC Project Engineer,Daryl,Rasmussen
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Luba,Serova
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),Co-Investigator,Michael,Skidmore
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),ARC Project Manager,Kenneth,Souza
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),Co-Investigator,H.,Stone
Cosmos 1514,12/14/1983,12/19/1983,State University of New York,Principal Investigator,Frank,Sulzman
Cosmos 1514,12/14/1983,12/19/1983,Institute of Biomedical Problems (IBMP),Co-Investigator,Arkady,Ushakov
Cosmos 1514,12/14/1983,12/19/1983,NASA Ames Research Center (ARC),ARC Project Scientist,Harold,Sandler
Cosmos 1514,12/14/1983,12/19/1983,University of Louisville,Co-Investigator,J.,Keefe
Cosmos 1514,12/14/1983,12/19/1983,NASA Headquarters (HQ),Principal Investigator,Harold,Sandler
