mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 2044,09/15/1989,09/29/1989,Institute of Biomedical Problems (IBMP),Co-Investigator,Alexei,Alpatov
Cosmos 2044,09/15/1989,09/29/1989,Colorado State University,Principal Investigator,R.,Amann
Cosmos 2044,09/15/1989,09/29/1989,Salk Institute,Co-Investigator,C.,Arias
Cosmos 2044,09/15/1989,09/29/1989,NASA Ames Research Center (ARC),Principal Investigator,Sara,Arnaud
Cosmos 2044,09/15/1989,09/29/1989,San Jose State University,Co-Investigator,H.,Asadi
Cosmos 2044,09/15/1989,09/29/1989,"University of Texas, Houston",Co-Investigator,R.,Ashman
Cosmos 2044,09/15/1989,09/29/1989,"University of California, Irvine",Principal Investigator,Kenneth,Baldwin
Cosmos 2044,09/15/1989,09/29/1989,NASA Ames Research Center (ARC),ARC Project Scientist,Rodney,Ballard
Cosmos 2044,09/15/1989,09/29/1989,Johns Hopkins University,Co-Investigator,S.,Banerjee
Cosmos 2044,09/15/1989,09/29/1989,"University of California, San Francisco",Principal Investigator,Eugene,Benton
Cosmos 2044,09/15/1989,09/29/1989,San Jose State University Foundation,Co-Investigator,R.,Binnard
Cosmos 2044,09/15/1989,09/29/1989,"University of California, Los Angeles",Co-Investigator,Sue,Bodine- Fowler
Cosmos 2044,09/15/1989,09/29/1989,Emory University,Co-Investigator,H.,Bonkovsky
Cosmos 2044,09/15/1989,09/29/1989,"University of Texas, Houston",Principal Investigator,Frank,Booth
Cosmos 2044,09/15/1989,09/29/1989,The London Hospital Medical College,Co-Investigator,T.,Bromage
Cosmos 2044,09/15/1989,09/29/1989,"University of California, San Francisco",Principal Investigator,Christopher,Cann
Cosmos 2044,09/15/1989,09/29/1989,"Washington University, St. Louis",Co-Investigator,J.,Carter
Cosmos 2044,09/15/1989,09/29/1989,NASA Headquarters (HQ),Program Manager,Larry,Chambers
Cosmos 2044,09/15/1989,09/29/1989,"Washington University, St. Louis",Co-Investigator,M.,Chi
Cosmos 2044,09/15/1989,09/29/1989,"Washington University, St. Louis",Co-Investigator,R.,Choksi
Cosmos 2044,09/15/1989,09/29/1989,University of Wisconsin,Co-Investigator,V.,Choy
Cosmos 2044,09/15/1989,09/29/1989,University of Iowa,Co-Investigator,C.,Chung
