mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Alexei,Alpatov
Cosmos 2229,12/29/1992,01/10/1993,NASA Ames Research Center (ARC),Principal Investigator,Sara,Arnaud
Cosmos 2229,12/29/1992,01/10/1993,NASA Ames Research Center (ARC),ARC Project Scientist,Rodney,Ballard
Cosmos 2229,12/29/1992,01/10/1993,"University of California, San Francisco",Principal Investigator,Christopher,Cann
Cosmos 2229,12/29/1992,01/10/1993,NASA Headquarters (HQ),Program Manager,Larry,Chambers
Cosmos 2229,12/29/1992,01/10/1993,Mount Sinai School of Medicine,Principal Investigator,Bernard,Cohen
Cosmos 2229,12/29/1992,01/10/1993,NASA Ames Research Center (ARC),ARC Project Manager,James,Connolly
Cosmos 2229,12/29/1992,01/10/1993,"University of Texas, Galveston",Principal Investigator,Manning,Correia
Cosmos 2229,12/29/1992,01/10/1993,University of Mississippi,Co-Investigator,D. J.,Dickman
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Margarita,Dotsenko
Cosmos 2229,12/29/1992,01/10/1993,"University of California, Los Angeles",Principal Investigator,V.,Edgerton
Cosmos 2229,12/29/1992,01/10/1993,"University of California, Los Angeles",Co-Investigator,V.,Edgerton
Cosmos 2229,12/29/1992,01/10/1993,Institute of Human Morphology,Co-Investigator,Boris,Fuchs
Cosmos 2229,12/29/1992,01/10/1993,NASA Ames Research Center (ARC),Principal Investigator,Richard,Grindeland
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Vladimir,Klimovitsky
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Irina,Konstantinova
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,V.,Korolkov
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Inessa,Kozlovskaya
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Andrei,Lesnyak
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,V.,Magedov
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Victor,Oganov
Cosmos 2229,12/29/1992,01/10/1993,University of Texas,Co-Investigator,Adrian,Perachio
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,A.,Rakhmanov
Cosmos 2229,12/29/1992,01/10/1993,Brooklyn College,Co-Investigator,Theodore,Raphan
Cosmos 2229,12/29/1992,01/10/1993,"University of California, Los Angeles",Co-Investigator,Roland,Roy
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Michoil,Sirota
Cosmos 2229,12/29/1992,01/10/1993,University of Louisville,Principal Investigator,Gerald,Sonnenfeld
Cosmos 2229,12/29/1992,01/10/1993,University of Medicine & Dentistry of NJ-SOM,Co-Investigator,T.,Stein
Cosmos 2229,12/29/1992,01/10/1993,NASA Headquarters (HQ),Program Scientist,Frank,Sulzman
Cosmos 2229,12/29/1992,01/10/1993,NASA Johnson Space Center (JSC),Co-Investigator,Gerald,Taylor
Cosmos 2229,12/29/1992,01/10/1993,"University of Wisconsin, Madison",Co-Investigator,Arthur,Vailas
Cosmos 2229,12/29/1992,01/10/1993,NASA Ames Research Center (ARC),ARC Project Engineer,Michael,Skidmore
Cosmos 2229,12/29/1992,01/10/1993,University of Pittsburgh,Co-Investigator,Adrian,Mandel
Cosmos 2229,12/29/1992,01/10/1993,"University of California, San Francisco",Co-Investigator,Claude,Arnaud
Cosmos 2229,12/29/1992,01/10/1993,Institute of Biomedical Problems (IBMP),Co-Investigator,Alexey,Bakulin
Cosmos 2229,12/29/1992,01/10/1993,"University of California, La Jolla",Principal Investigator,Sue,Bodine- Fowler
Cosmos 2229,12/29/1992,01/10/1993,"University of California, San Francisco",Co-Investigator,Patricia,Buckendahl
Cosmos 2229,12/29/1992,01/10/1993,University of Louisville,Co-Investigator,Stephanie,Davis
Cosmos 2229,12/29/1992,01/10/1993,Mount Sinai School of Medicine,Co-Investigator,Mingjia,Dia
Cosmos 2229,12/29/1992,01/10/1993,Krug International,Co-Investigator,Harlan,Evans
Cosmos 2229,12/29/1992,01/10/1993,"University of California, Davis",Co-Investigator,Tana,Hoban- Higgins
Cosmos 2229,12/29/1992,01/10/1993,"University of California, Los Angeles",Co-Investigator,John,Hodgson
Cosmos 2229,12/29/1992,01/10/1993,NASA Ames Research Center (ARC),Co-Investigator,Teresa,Hutchinson
Cosmos 2229,12/29/1992,01/10/1993,Baylor College of Medicine,Principal Investigator,Adrian,LeBlanc
Cosmos 2229,12/29/1992,01/10/1993,Mount Sinai School of Medicine,Co-Investigator,Leigh,McGarvie
Cosmos 2229,12/29/1992,01/10/1993,University of Rochester,Co-Investigator,Gary,Paige
Cosmos 2229,12/29/1992,01/10/1993,UCSD School of Medicine and VA Medical Center,Co-Investigator,David,Pierotti
Cosmos 2229,12/29/1992,01/10/1993,NASA Johnson Space Center (JSC),Co-Investigator,Linda,Shackelford
Cosmos 2229,12/29/1992,01/10/1993,Stanford University,Co-Investigator,Charles,Steele
