mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-57,06/21/1993,07/01/1993,NASA Ames Research Center (ARC),ARC Payload Manager,Joellen,Jarvi
STS-57,06/21/1993,07/01/1993,NASA Ames Research Center (ARC),ARC Payload Scientist,Philip,Lane
STS-57,06/21/1993,07/01/1993,NASA Ames Research Center (ARC),ARC Deputy Payload Manager,Robert,Lavond
STS-57,06/21/1993,07/01/1993,NASA Ames Research Center (ARC),ARC Deputy Payload Scientist,Dana,Leonard
STS-57,06/21/1993,07/01/1993,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Rita,Briggs
STS-57,06/21/1993,07/01/1993,Space Dermatology Foundation,Co-Investigator,Steve,Kohn
STS-57,06/21/1993,07/01/1993,Pennsylvania State University,Principal Investigator,William,Wilfinger
