mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 782,11/25/1975,12/15/1975,Bruce Lyon Memorial Research Laboratory,Co-Investigator,Gloria,Klein
Cosmos 782,11/25/1975,12/15/1975,Colorado State University,Principal Investigator,Stephen,Kleinschuster
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Principal Investigator,Lisbeth,Kraft
Cosmos 782,11/25/1975,12/15/1975,State University of New York,Co-Investigator,Abraham,Krikorian
Cosmos 782,11/25/1975,12/15/1975,Veteran's Administration Hospital,Co-Investigator,Stephen,Landaw
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Co-Investigator,David,Leaffer
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Principal Investigator,Henry,Leon
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Co-Investigator,P.,Lundgren
Cosmos 782,11/25/1975,12/15/1975,Colorado State University,Co-Investigator,Kathleen,Mahon
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Principal Investigator,Adrian,Mandel
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Principal Investigator,Emily,Morey- Holton
Cosmos 782,11/25/1975,12/15/1975,Bryn Mawr College,Co-Investigator,J.,Oppenheimer
Cosmos 782,11/25/1975,12/15/1975,"University of California, Los Angeles",Co-Investigator,A.,Parlow
Cosmos 782,11/25/1975,12/15/1975,University of San Francisco,Principal Investigator,D.,Peterson
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Principal Investigator,Delbert,Philpott
Cosmos 782,11/25/1975,12/15/1975,Institute of Biomedical Problems (IBMP),Co-Investigator,G.,Potapova
Cosmos 782,11/25/1975,12/15/1975,Tuskegee University,Co-Investigator,Walter,Sapp
Cosmos 782,11/25/1975,12/15/1975,Institute of Biomedical Problems (IBMP),Co-Investigator,Loya,Savik
Cosmos 782,11/25/1975,12/15/1975,"University of California, San Francisco",Principal Investigator,I.,Savostin-Asling
Cosmos 782,11/25/1975,12/15/1975,University of Houston,Co-Investigator,H.,Scheld
Cosmos 782,11/25/1975,12/15/1975,Institute of Biomedical Problems (IBMP),Co-Investigator,Luba,Serova
Cosmos 782,11/25/1975,12/15/1975,State University of New York,Principal Investigator,F.,Steward
Cosmos 782,11/25/1975,12/15/1975,University of San Francisco,Co-Investigator,M.,Tran
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Co-Investigator,Charles,Turnbill
Cosmos 782,11/25/1975,12/15/1975,National Aeronautics and Space Administration (NASA),Co-Investigator,Joan,Vernikos
Cosmos 782,11/25/1975,12/15/1975,San Jose State University,Principal Investigator,Stanley,Ellis
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Co-Investigator,Delbert,Philpott
Cosmos 782,11/25/1975,12/15/1975,"University of California, San Francisco",Co-Investigator,C.,Asling
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),ARC Project Engineer,Robert,Mah
Cosmos 782,11/25/1975,12/15/1975,University of Nevada,ARC Project Manager,Richard,Simmonds
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),ARC Deputy Project Manager,Kenneth,Souza
Cosmos 782,11/25/1975,12/15/1975,Linus Pauling Institute of Science and Medicine,Principal Investigator,Jamie,Miquel
