mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 782,11/25/1975,12/15/1975,"University of California, San Francisco",Principal Investigator,C.,Asling
Cosmos 782,11/25/1975,12/15/1975,Colorado State University,Co-Investigator,Bonnie,Baker
Cosmos 782,11/25/1975,12/15/1975,Colorado State University,Principal Investigator,Ralph,Baker
Cosmos 782,11/25/1975,12/15/1975,"University of Wisconsin, Madison",Co-Investigator,Edward,Balish
Cosmos 782,11/25/1975,12/15/1975,American Lake Veteran's Administration Medical Center,Co-Investigator,David,Baylink
Cosmos 782,11/25/1975,12/15/1975,University of San Francisco,Co-Investigator,Eugene,Benton
Cosmos 782,11/25/1975,12/15/1975,San Jose State University Foundation,Co-Investigator,R.,Binnard
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Co-Investigator,Samuel,Black
Cosmos 782,11/25/1975,12/15/1975,"Northrop Services, Inc.",Co-Investigator,J.,Boyd
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Principal Investigator,P.,Brown
Cosmos 782,11/25/1975,12/15/1975,NASA Headquarters (HQ),Program Manager,Larry,Chambers
Cosmos 782,11/25/1975,12/15/1975,Institute of Biomedical Problems (IBMP),Co-Investigator,N.,Chelnaya
Cosmos 782,11/25/1975,12/15/1975,Institute of Biomedical Problems (IBMP),Co-Investigator,A.,Churakova
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Co-Investigator,Robert,Corbett
Cosmos 782,11/25/1975,12/15/1975,"Northrop Services, Inc.",Co-Investigator,Jennifer,Cummins
Cosmos 782,11/25/1975,12/15/1975,Institute of Biomedical Problems (IBMP),Co-Investigator,S.,Deryagina
Cosmos 782,11/25/1975,12/15/1975,Colorado State University,Co-Investigator,Lee,Elliot
Cosmos 782,11/25/1975,12/15/1975,San Jose State University,Co-Investigator,Stanley,Ellis
Cosmos 782,11/25/1975,12/15/1975,University of Louisville,Co-Investigator,P.,Fuller
Cosmos 782,11/25/1975,12/15/1975,"University of California, Davis",Co-Investigator,I.,Geschwind
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Principal Investigator,Richard,Grindeland
Cosmos 782,11/25/1975,12/15/1975,Colorado State University,Principal Investigator,Penelope,Hanchey
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Co-Investigator,Gladys,Harrison
Cosmos 782,11/25/1975,12/15/1975,Colorado State University,Principal Investigator,John,Hendrix
Cosmos 782,11/25/1975,12/15/1975,University of Louisville,Principal Investigator,J.,Keefe
Cosmos 782,11/25/1975,12/15/1975,NASA Ames Research Center (ARC),Co-Investigator,Lanny,Keil
Cosmos 782,11/25/1975,12/15/1975,Veteran's Administration Hospital,Co-Investigator,J.,Kendall
