mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),Co-Investigator,Richard,Adachi
Cosmos 1129,09/25/1979,10/14/1979,Colorado State University,Principal Investigator,Ralph,Baker
Cosmos 1129,09/25/1979,10/14/1979,Yale University,Co-Investigator,R.,Baron
Cosmos 1129,09/25/1979,10/14/1979,American Lake Veteran's Administration Medical Center,Co-Investigator,David,Baylink
Cosmos 1129,09/25/1979,10/14/1979,"University of California, San Francisco",Principal Investigator,Eugene,Benton
Cosmos 1129,09/25/1979,10/14/1979,"University of California, San Francisco",Principal Investigator,Christopher,Cann
Cosmos 1129,09/25/1979,10/14/1979,"University of California, San Francisco",Co-Investigator,Christopher,Cann
Cosmos 1129,09/25/1979,10/14/1979,University of San Francisco,Co-Investigator,R.,Cassou
Cosmos 1129,09/25/1979,10/14/1979,NASA Jet Propulsion Laboratory,Principal Investigator,Kenneth,Castleman
Cosmos 1129,09/25/1979,10/14/1979,,Program Manager,C.,Sawin
Cosmos 1129,09/25/1979,10/14/1979,University of Southern California,Co-Investigator,Louis,Chui
Cosmos 1129,09/25/1979,10/14/1979,University of Delaware,Principal Investigator,Charles,Curtis
Cosmos 1129,09/25/1979,10/14/1979,University of Utah,Co-Investigator,R.,Dell
Cosmos 1129,09/25/1979,10/14/1979,State University of New York,Co-Investigator,F.,Dutcher
Cosmos 1129,09/25/1979,10/14/1979,University of San Francisco,Co-Investigator,E.,Etter
Cosmos 1129,09/25/1979,10/14/1979,"University of California, San Francisco",Co-Investigator,A.,Frank
Cosmos 1129,09/25/1979,10/14/1979,University of Delaware,Co-Investigator,Caroline,Golt
Cosmos 1129,09/25/1979,10/14/1979,Colorado State University,Co-Investigator,John,Hendrix
Cosmos 1129,09/25/1979,10/14/1979,University of San Francisco,Co-Investigator,R.,Henke
Cosmos 1129,09/25/1979,10/14/1979,University of Utah,Principal Investigator,Webster,Jee
Cosmos 1129,09/25/1979,10/14/1979,University of San Francisco,Co-Investigator,C.,Johnson
Cosmos 1129,09/25/1979,10/14/1979,Baylor University Medical Center,Principal Investigator,M.,Judy
Cosmos 1129,09/25/1979,10/14/1979,Air Force Aerospace Medical Research Laboratory,Principal Investigator,L.,Kazarian
Cosmos 1129,09/25/1979,10/14/1979,University of Louisville,Principal Investigator,J.,Keefe
Cosmos 1129,09/25/1979,10/14/1979,University of Utah,Co-Investigator,D.,Kimmel
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),Co-Investigator,Harold,Klein
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),Principal Investigator,Lisbeth,Kraft
Cosmos 1129,09/25/1979,10/14/1979,Bruce Lyon Memorial Research Laboratory,Co-Investigator,Chen,Lin
Cosmos 1129,09/25/1979,10/14/1979,Baylor University Medical Center,Principal Investigator,J.,Matthews
Cosmos 1129,09/25/1979,10/14/1979,University of the Pacific,Co-Investigator,P.,Mozsary
Cosmos 1129,09/25/1979,10/14/1979,"University of California, Berkeley",Co-Investigator,Nello,Pace
Cosmos 1129,09/25/1979,10/14/1979,University of Virginia,Principal Investigator,G.,Pitts
Cosmos 1129,09/25/1979,10/14/1979,University of Delaware,Co-Investigator,Edward,Podleckis
Cosmos 1129,09/25/1979,10/14/1979,State University of New York,Co-Investigator,C.,Quinn
Cosmos 1129,09/25/1979,10/14/1979,Indiana University,Principal Investigator,W.,Roberts
Cosmos 1129,09/25/1979,10/14/1979,Indiana/Purdue University,Co-Investigator,Gary,Rosenberg
Cosmos 1129,09/25/1979,10/14/1979,Washington University,Co-Investigator,Jean,Russell
Cosmos 1129,09/25/1979,10/14/1979,"University of California, San Francisco",Principal Investigator,E.,Sabelman
Cosmos 1129,09/25/1979,10/14/1979,University of Texas Medical Branch (UTMB),Principal Investigator,David,Simmons
Cosmos 1129,09/25/1979,10/14/1979,Institute of Biomedical Problems (IBMP),Co-Investigator,T.,Smirnova
Cosmos 1129,09/25/1979,10/14/1979,"University of California, Davis",Co-Investigator,A.,Smith
Cosmos 1129,09/25/1979,10/14/1979,University of Utah,Co-Investigator,C.,Smith
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),Co-Investigator,Kenneth,Souza
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),ARC Project Manager,Kenneth,Souza
Cosmos 1129,09/25/1979,10/14/1979,State University of New York,Co-Investigator,F.,Steward
Cosmos 1129,09/25/1979,10/14/1979,Institute of Biomedical Problems (IBMP),Co-Investigator,R.,Tigranyan
Cosmos 1129,09/25/1979,10/14/1979,University of San Francisco,Co-Investigator,M.,Tran
Cosmos 1129,09/25/1979,10/14/1979,Yale University,Principal Investigator,P.,Tran Van
Cosmos 1129,09/25/1979,10/14/1979,American Lake Veteran's Administration Medical Center,Co-Investigator,Russell,Turner
Cosmos 1129,09/25/1979,10/14/1979,Institute of Biomedical Problems (IBMP),Co-Investigator,Arkady,Ushakov
Cosmos 1129,09/25/1979,10/14/1979,University of Southern California,Co-Investigator,Joseph,Van Der Meulen
Cosmos 1129,09/25/1979,10/14/1979,Institute of Biomedical Problems (IBMP),Co-Investigator,E.,Vetrova
Cosmos 1129,09/25/1979,10/14/1979,Yale University,Co-Investigator,A.,Vignery
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),Co-Investigator,C.,Volkmann
Cosmos 1129,09/25/1979,10/14/1979,Washington University,Co-Investigator,W.,Walker
Cosmos 1129,09/25/1979,10/14/1979,Washington University,Co-Investigator,F.,Winter
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),Principal Investigator,Thomas,Wronski
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),ARC Deputy Project Manager,Robert,Mah
Cosmos 1129,09/25/1979,10/14/1979,"University of California, San Francisco",Co-Investigator,Claude,Arnaud
Cosmos 1129,09/25/1979,10/14/1979,University of Delaware,Co-Investigator,Charles,Curtis
Cosmos 1129,09/25/1979,10/14/1979,University of Utah,Co-Investigator,Webster,Jee
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),Co-Investigator,Emily,Morey- Holton
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),ARC Project Scientist,Kenneth,Souza
Cosmos 1129,09/25/1979,10/14/1979,NASA Ames Research Center (ARC),ARC Project Engineer,Robert,Mah
Cosmos 1129,09/25/1979,10/14/1979,Bruce Lyon Memorial Research Laboratory,Principal Investigator,S.,Abraham
Cosmos 1129,09/25/1979,10/14/1979,State University of New York,Principal Investigator,Abraham,Krikorian
